CaseID,PortName,State,PortCode,Border,Date,Measure,Total Number of Entries,Longitude,Latitude
21,Alcan,Alaska,3104,US-Canada Border,10/1/2018,Buses,1,-142.98928,63.33693
22,Maida,North Dakota,3416,US-Canada Border,10/1/2018,Buses,1,-98.36953,48.98568
23,Hannah,North Dakota,3408,US-Canada Border,10/1/2018,Trucks,1,-98.701,48.97029
24,Turner,Montana,3306,US-Canada Border,10/1/2018,Buses,1,-108.40599,48.84361
25,Roosville,Montana,3318,US-Canada Border,10/1/2018,Buses,1,-115.04512,48.88171
26,Port Angeles,Washington,3007,US-Canada Border,10/1/2018,Buses,1,-123.4328,48.11365
27,Skagway,Alaska,3103,US-Canada Border,10/1/2018,Trains,1,-135.30656,59.47197
28,Madawaska,Maine,109,US-Canada Border,9/1/2018,Buses,1,-68.3271,47.35446
29,Ketchikan,Alaska,3102,US-Canada Border,9/1/2018,Buses,1,-131.64031,55.33897
30,Northgate,North Dakota,3406,US-Canada Border,9/1/2018,Buses,1,-102.39634,48.89848
31,Laurier,Washington,3016,US-Canada Border,9/1/2018,Buses,1,-118.22302,48.99892
32,Van Buren,Maine,108,US-Canada Border,9/1/2018,Buses,1,-67.94271,47.16207
33,Baudette,Minnesota,3424,US-Canada Border,9/1/2018,Buses,1,-94.72512,48.70731
34,Boundary,Washington,3015,US-Canada Border,9/1/2018,Buses,1,-117.89655,48.54648
35,Roseau,Minnesota,3426,US-Canada Border,9/1/2018,Buses,1,-95.81074,48.77518
36,Porthill,Idaho,3308,US-Canada Border,9/1/2018,Buses,1,-116.49828,48.99282
37,Fort Kent,Maine,110,US-Canada Border,9/1/2018,Buses,1,-68.58458,47.26878
38,Friday Harbor,Washington,3014,US-Canada Border,9/1/2018,Buses,1,-123.01415,48.53231
39,Del Bonita,Montana,3322,US-Canada Border,8/1/2018,Buses,1,-112.32481,48.63274
40,Porthill,Idaho,3308,US-Canada Border,8/1/2018,Buses,1,-116.49828,48.99282
